"site_id","site_code","site_name"
772447,"591300040",福州南屿万达
772450,"022300041",天津空港东S
772604,"757300079",小塘洞边S
772640,"812300001",攀枝花东街
803158,"516300152",夏圩东区四部
803113,"516300127",春星五部
774430,"510300051",江阴新城区
774621,"633300021",揭阳市蓝城
774701,"571300111",滨江万轮S
774735,"311300063",石家庄鹿泉区
774838,"538300006",泰安昌盛
774914,"431300019",长春绿园中铁城S
774925,"571300113",杭州乔中S
775609,"523300023",泰兴中创S
775757,"351600007",太原分拨太原万柏林派送部
776343,"755300077",龙华大浪谭罗
776634,"020300119",镜湖东镜S
776821,"512300106",昆山浩盛S
776973,"434300005",四平市伊通县S
776987,"757300103",广州西湾路S
776993,"757300107",广州大德路S
777054,"799300002",萍乡开发区
777105,"753300008",梅州松口S
777282,"517300016",淮安清河市区
777422,"532300063",黄岛同江路S
777446,"572300026",安吉县小墅S
777547,"859300006",黔西南晴隆县
270615,"8563027",思南县城区
756830,"512300010",江苏金亿盛
766907,"411600003",大连分拨填仓T
766910,"452600003",齐齐哈尔分拨填仓T
71613,"7555055",深圳会员肖海波
78607,"5513098",合肥雅俊
79599,"0213277",杨浦双阳
272598,"7607324",冈东利美S
275627,"8133042",自贡市荣县王家坝
275630,"8133021",自贡市西干道
276620,"7603072",横栏新茂康捷S
279612,"8713091",缅甸曼德勒
279614,"0253146",南京广州路
281610,"5173052",清浦城区一S
297602,"3943013",周口商水县S
299593,"5363085",山东潍坊青州东
310619,"7503029",恩平开发区
314596,"5915013",福州会员特诚
327624,"5143032",扬州新通港S
335604,"5713301",杭州汽配城
335613,"0103380",北京昌平二拨子
335638,"0293108",西安名城S
338615,"0213393",浦东龙阳路S
342648,"5563032",迎江宜城S
355631,"0103384",西五环万达
357608,"0253151",江宁东山万达广场
364621,"8793012",普洱市墨江县
368619,"5103150",无锡解放路S
416640,"5123414",无锡荣巷SK
416642,"5763215",三门吴岙SK
416656,"0223212",河北胜芳镇K
416696,"5123420",常熟电商K
416701,"7913202",红谷滩黄河路K
416717,"5733091",海盐武原东部S
416760,"3193047",邯山区赵都新城
416785,"9793007",山林那日
431625,"7543053",汕头龙湖工业区S
433603,"8253026",遂宁仁里镇
433621,"0253155",江宁领鑫S
435657,"8913019",拉萨市城东区
438682,"0103590",北京房深路K
438731,"0213416",上海浦东坦直K
438734,"0213617",宝山新万达K
438756,"9713022",西宁建国路K
438763,"5193100",常州电商简尚K
444615,"0223141",武清王庆坨淘宝镇
445617,"5993024",南平建阳区
453771,"8763018",云南文山东K
453777,"8763023",云南文山丘北县K
453781,"8763027",云南文山市东风路K
453934,"5163080",睢宁凌城南区S
453956,"8383003",德阳广汉SK
453998,"8573028",黔西南兴义南部K
454264,"0273149",走马岭神盾SK
454272,"8513088",仁怀酒都K
454485,"5753035",诸暨东部
454522,"7123016",孝感北K
454675,"8773012",玉溪华宁县
454716,"4763032",赤峰市松山区K
454853,"6323012",枣庄滕州东城K
455095,"9513027",交通烨硕S
491635,"4313091",长吉中转部S
492624,"7793045",北海银海区
497622,"3713252",郑州新科
498611,"5513145",包河绿地S
500640,"5393040",临沂奥斯卡店S
503630,"5123648",昆山北区长兴S
505607,"5743143",余姚宝恒S
507607,"5273033",耿车大众西区SK
509640,"0233504",南岸茶园S
511615,"5773084",温州聚能增量
512639,"0213759",上海奉贤青村K
519618,"5723067",湖州德清雷甸镇SK
519620,"5103377",江阴万达广场SK
519652,"8323023",内江乐贤镇SK
519660,"5163122",沙集陈庄S
520613,"8713108",云南昆明官渡凉亭
520620,"3173054",沧州河间米各庄K
523667,"5113061",丹阳陵口SK
523669,"5113063",丹阳埤城SK
524614,"5123653",苏州盛泽郎中K
529608,"0273358",武汉华农
532650,"0283252",四川乐至K
533665,"5793251",义乌樊村S
534616,"3793025",洛阳吉利S
534624,"5583028",阜阳颍州市区K
537608,"9323025",甘肃陇西文峰K
537634,"8333028",乐山马边
547623,"5793320",义乌人才市场S
549607,"5723071",湖州洛舍S
550611,"7303022",岳阳城南SK
560606,"5953116",石狮一号
563683,"7553443",深圳龙华K
750732,"029300006",咸阳火车站
